"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 10:10:42 GMT 2023","Sun Jul 09 10:10:46 GMT 2023","3243","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Jul 09 10:10:39 GMT 2023","Sun Jul 09 10:10:42 GMT 2023","3235","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Jul 09 10:10:31 GMT 2023","Sun Jul 09 10:10:39 GMT 2023","7842","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
